formal_text,label
saya bingung sekali ingin menangis karena terlalu banyak pikiran terus-menerus tentang masa depan,Depresi
saya tidak bisa tidur dari tdi malam pikiran berputar tidak brenti tentang ujian besok,Insomnia
kecemasan saya kumat lagi jantung degan padahal tidak ada apa help,Depresi
panik sekali tadi presentasi tangan gemetaran keringetan malu sekali,Cemas
tidak bisa fokus sama sekali pikiran kemana terlalu banyak pikiran parah sekali,Cemas
gugup sekali ingin bertemu orang baru sosial kecemasan saya memang parah,Cemas
khawatir sekali sama nilai smester ini takut orang tua kecewa,Cemas
gelisah terus dari kemarin entah kenapa tiba merasa takut tidak jelas gitu,Cemas
was sekali nunggu hasil interview degan sampai tidak napsu makan,Cemas
panic attack lagi napas sesak jantung ingin copot tolong,Cemas
terlalu banyak pikiran terus smpe tidak bisa tidur besok ada tenggat waktu tapi malah kepikiran yang bukan,Insomnia
takut sekali sama future saya semua orang keliatan sukses hanya saya saja yang stuck,Cemas
ngerasa hampa sekali sudah lama tidak bisa seneng sama sekali lelah hidup,Depresi
tidak tau kenapa menangis sendiri merasa tidak berguna sekali hidup saya selesai,Depresi
putus asa sekali sudah nyoba banyak hal tapi tidak ada yang berhasil ingin nyerah,Depresi
setiap bangun pagi ngerasa berat sekali tidak mau ngapain ingin tiduran saja,Insomnia
sudah tidak merasa apa lagi kosong sekali dalem sini sedih juga tidak bisa,Depresi
merasa sendirian sekali padahal dikelilingin banyak orang tidak ada yang mengerti saya,Depresi
kamu tau tidak lelah pura baik saja pdhal dalem sini hancur sekali,Depresi
merasa hidup saya tidak ada artinya ingin ngapain juga sia saja,Depresi
sudah berminggu tidak bisa merasa seneng ketawa juga rasanya hampa,Depresi
tidak ingin bertemu siapapun tidak mau berbicara ingin sendiri saja menangis,Depresi
malas ngapain bangun tidur saja lelah sekali ingin ilang saja,Stress
merasa jd beban buat semua orang mending saya tidak ada saja kali ya,Depresi
stres sekali tenggat waktu menumpuk semua minta besok otak saya uda tidak jalan,Stress
kelelahan ekstrem parah sudah sebulan kerja keras tapi hasilnya nihil kecewa sekali,Stress
tertekan sekali sama ekspektasi ortu lelah mengejar standar orang lain terus-menerus,Stress
beban kuliah kerja sambi menumpuk saya ingin meledak rasanya,Stress
lelah sekali sama tuntutan yang tidak ada abisnya saya juga manusia bkn robot,Depresi
jemu sekali sama sistem sudah kerja keras tapi yang dapat reward orang lain,Stress
pusing sekali semua hal dateng barengan tidak mau berpikir apa lagi,Stress
kewalahan parah to do list semakin panjang tapi tenaga semakin tipis,Stress
frustasi sekali sama kondisi ini sudah usaha tapi tidak ada perubahan juga,Depresi
tekanan dari segala arah dari ortu dosen pacar ingin kabur rasanya,Stress
stres level saya dah ingin pemulihan diri tapi tidak ada waktu sama sekali,Depresi
tenggat waktu besok tapi belum mulai stres saya tingkat dewa sudah,Stress
sudah jam pagi masih terjaga besok ada kuliah jam tapi mata tidak ingin tutup,Insomnia
tidak bisa tidur dari kemarin badan lelah sekali tapi otak tidak ingin berhenti,Insomnia
sulit tidur kumat lagi setiap malam hanya berbaring sambil menangis,Insomnia
sudah minum susu matiin hp tapi tetep saja terjaga sampai subuh,Insomnia
pola tidur saya rusak parah tidur jam bangun jam setiap hari,Insomnia
kelelahan sekali tapi tidak bisa tidur badan lemas otak masih jalan terus,Insomnia
jam malam masih tidak bisa tidur pikiran berputar tidak ada habisnya,Insomnia
sulit sekali tidur belakangan ini setiap ingin tidur tiba kecemasan,Cemas
rt retweet ini buat keberuntungan,Tidak Terklasifikasi
