text,sumber,teks_bersih,label
"khawatir bgt sama nilai smester ini, takut org tua kecewa 😟",twitter,khawatir sekali sama nilai smester ini takut orang tua kecewa,Cemas
"ngrasa sendirian bgt pdhl dikelilingin banyak org, ngga ada yg ngerti gw",twitter,merasa sendirian sekali padahal dikelilingin banyak orang tidak ada yang mengerti saya,Depresi
"ngrasa hidup gw ga ada artinya, mau ngapain jg sia2 aja",twitter,merasa hidup saya tidak ada artinya ingin ngapain juga sia saja,Depresi
"muak bgt sm sistem, udh kerja keras tp yg dapet reward org lain",twitter,jemu sekali sama sistem sudah kerja keras tapi yang dapat reward orang lain,Stress
"insomnia kumat lg, tiap malem cuma rebahan sambil nangis",twitter,sulit tidur kumat lagi setiap malam hanya berbaring sambil menangis,Insomnia
rt @user: retweet ini buat keberuntungan 🍀🍀🍀,twitter,rt retweet ini buat keberuntungan,Tidak Terklasifikasi
"nervous poll mau ketemu org baru, sosial anxiety gw emg parah",twitter,gugup sekali ingin bertemu orang baru sosial kecemasan saya memang parah,Cemas
"burnout parah, udh sebulan kerja keras tp hasilnya nihil kecewa bgt",twitter,kelelahan ekstrem parah sudah sebulan kerja keras tapi hasilnya nihil kecewa sekali,Stress
"beban kuliah + kerja sambi numpuk, gw mau meledak rasanya 🤯",twitter,beban kuliah kerja sambi menumpuk saya ingin meledak rasanya,Stress
"pola tidur gw rusak parah, tidur jam 4 bangun jam 12 tiap hari",twitter,pola tidur saya rusak parah tidur jam bangun jam setiap hari,Insomnia
aq bngung bgt mo nangis krn overthinking mulu ttg masa depan 😭😭,twitter,saya bingung sekali ingin menangis karena terlalu banyak pikiran terus-menerus tentang masa depan,Depresi
"frustrasi bgt sama kondisi ini, udh usaha tp ga ada perubahan jg",twitter,frustasi sekali sama kondisi ini sudah usaha tapi tidak ada perubahan juga,Depresi
"overwhelmed parah, to-do list makin panjang tp tenaga makin tipis",twitter,kewalahan parah to do list semakin panjang tapi tenaga semakin tipis,Stress
"tekanan dr segala arah, dari ortu dosen pacar, mau kabur rasanya",twitter,tekanan dari segala arah dari ortu dosen pacar ingin kabur rasanya,Stress
"udh berminggu2 ga bisa ngrasa seneng, ketawa jg rasanya hampa",twitter,sudah berminggu tidak bisa merasa seneng ketawa juga rasanya hampa,Depresi
"gelisah trs dr kmrn, entah knp tiba2 ngrasa takut ga jelas gt",twitter,gelisah terus dari kemarin entah kenapa tiba merasa takut tidak jelas gitu,Cemas
"jam 2 malem masih gabisa bobo, pikiran muter2 ga ada habisnya",twitter,jam malam masih tidak bisa tidur pikiran berputar tidak ada habisnya,Insomnia
lo tau ga? capek pura2 baik2 aja pdhal dalem sini hancur bgt 💔,twitter,kamu tau tidak lelah pura baik saja pdhal dalem sini hancur sekali,Depresi
"ga mau ketemu siapapun, gamau ngomong, mau sendiri aja nangis",twitter,tidak ingin bertemu siapapun tidak mau berbicara ingin sendiri saja menangis,Depresi
"ga tau knp nangis2 sendiri, ngrsa ga berguna bgt hidup gw slesai",twitter,tidak tau kenapa menangis sendiri merasa tidak berguna sekali hidup saya selesai,Depresi
"gw gabisa tidur dr tdi malem, pikiran muter2 ga brenti ttg ujian besok",twitter,saya tidak bisa tidur dari tdi malam pikiran berputar tidak brenti tentang ujian besok,Insomnia
"gabisa tidur dr kmrn, badan cape bgt tp otak ga mau berhenti",twitter,tidak bisa tidur dari kemarin badan lelah sekali tapi otak tidak ingin berhenti,Insomnia
"ngerasa hampa bgt, udh lama ga bs seneng sama sekali capek hidup",twitter,ngerasa hampa sekali sudah lama tidak bisa seneng sama sekali lelah hidup,Depresi
"deadline besok tp belom mulai, stress gw tingkat dewa udh",twitter,tenggat waktu besok tapi belum mulai stres saya tingkat dewa sudah,Stress
"males ngapa2in, bangun tidur aja cape bgt, pengen ilang aja",twitter,malas ngapain bangun tidur saja lelah sekali ingin ilang saja,Stress
panic attack lagi 😭 napas sesak jantung mau copot tolong,twitter,panic attack lagi napas sesak jantung ingin copot tolong,Cemas
"udh ga ngrasa apa2 lg, kosong bgt dalem sini, sedih jg ga bs",twitter,sudah tidak merasa apa lagi kosong sekali dalem sini sedih juga tidak bisa,Depresi
"tertekan bgt sm ekspektasi ortu, capek ngejar standar org lain mulu",twitter,tertekan sekali sama ekspektasi ortu lelah mengejar standar orang lain terus-menerus,Stress
"capek bgt sm tuntutan yg ga ada abisnya, gw jg manusia bkn robot",twitter,lelah sekali sama tuntutan yang tidak ada abisnya saya juga manusia bkn robot,Depresi
"takut bgt sama future gw, smua org keliatan sukses cuma gw doang yg stuck",twitter,takut sekali sama future saya semua orang keliatan sukses hanya saya saja yang stuck,Cemas
"ga bisa fokus sm sekali, pikiran kemana2 overthinking parah bgt sih",twitter,tidak bisa fokus sama sekali pikiran kemana terlalu banyak pikiran parah sekali,Cemas
"kelelahan bgt tp ga bs tidur, badan lemes otak masih jalan terus",twitter,kelelahan sekali tapi tidak bisa tidur badan lemas otak masih jalan terus,Insomnia
"susah banget tidur belakangan ini, setiap mau tidur tiba2 anxiety",twitter,sulit sekali tidur belakangan ini setiap ingin tidur tiba kecemasan,Cemas
"putus asa bgt, udh nyoba banyak hal tp ga ada yg berhasil pengen nyerah",twitter,putus asa sekali sudah nyoba banyak hal tapi tidak ada yang berhasil ingin nyerah,Depresi
"udh jam 3 pagi masih melek, besok ada kuliah jam 7 tp mata ga mau tutup",twitter,sudah jam pagi masih terjaga besok ada kuliah jam tapi mata tidak ingin tutup,Insomnia
"anxiety gw kumat lg, jantung deg2an pdhl ga ada apa2 help 😰",twitter,kecemasan saya kumat lagi jantung degan padahal tidak ada apa help,Depresi
"stress level gw dah 100%, mau healing tp ga ada waktu sama sekali",twitter,stres level saya dah ingin pemulihan diri tapi tidak ada waktu sama sekali,Depresi
"pusing bgt, semua hal dateng barengan, gamau mikir apa2 lg",twitter,pusing sekali semua hal dateng barengan tidak mau berpikir apa lagi,Stress
"overthinking trs smpe ga bs tidur, besok ada deadline tp malah kepikiran yg bukan2",twitter,terlalu banyak pikiran terus smpe tidak bisa tidur besok ada tenggat waktu tapi malah kepikiran yang bukan,Insomnia
"setiap bangun pagi ngerasa berat bgt, gamau ngapa2in pengen tiduran aja",twitter,setiap bangun pagi ngerasa berat sekali tidak mau ngapain ingin tiduran saja,Insomnia
"ngrasa jd beban buat semua org, mending gw ga ada aja kali ya",twitter,merasa jd beban buat semua orang mending saya tidak ada saja kali ya,Depresi
"udh minum susu, matiin hp, tp tetep aja melek sampe subuh",twitter,sudah minum susu matiin hp tapi tetep saja terjaga sampai subuh,Insomnia
"panik bgt tadi presentasi, tangan gemetaran keringetan malu bngt",twitter,panik sekali tadi presentasi tangan gemetaran keringetan malu sekali,Cemas
"stress poll deadline numpuk smua minta bsok, otak gw uda ga jalan",twitter,stres sekali tenggat waktu menumpuk semua minta besok otak saya uda tidak jalan,Stress
"was2 bgt nunggu hasil interview, deg2an sampe ga napsu makan",twitter,was sekali nunggu hasil interview degan sampai tidak napsu makan,Cemas
